part_number,alert_quantity,enable/disable_alert,note
TPD1E10B09DPYR,1000,enable,@Sample note2
ADS1298IPAG,100,enable,@Sample note
BQ24296RGET,500,enable,
BQ24296RGER,500,enable,
BQ24296MRGET,250,enable,
BQ24296MRGER,250,enable,
BQ27441DRZT-G1A,100,enable,
BQ27441DRZR-G1A,100,enable,
BQ27441DRZT-G1B,100,enable,
BQ27441DRZR-G1B,100,enable,
TPD1E10B09DPYT,1000,disable,
TPS65154RSLR,250,enable,
CC2564BRVMT,250,enable,
CC2564BRVMR,250,enable,
SN65DSI83ZXHR,250,enable,
PCA9306DCTT,250,enable,
PCA9306DCTR,250,enable,
TXB0104RUTR,250,enable,
CD74HCT20M,250,enable,@Test comment 123
LM239DR,250,enable,
